id;name;brand;regular_price;promo_price;store;city
716095;Форель Радужная слабосоленая РЫБА-РЫБА филе-кусок, 200г;Не указан;52999.0;37999.0;Лента;Москва
14226;Лосось Атлантический ЛЕНТА FRESH филе Премиум, весовой;Не указан;250000.0;120000.0;Лента;Москва
226612;Морской коктейль замороженный ЛЕНТА, 400г;Не указан;37699.0;33699.0;Лента;Москва
300818;Кета Тихоокеанская ЛЕНТА FRESH потрошеная без головы (из замороженного сырья), весовая;Не указан;161998.0;143998.0;Лента;Москва
386594;Путассу замороженная 365 ДНЕЙ неразделанная, 600г;Не указан;9999.0;;Лента;Москва
381512;Крабовые палочки замороженные 365 ДНЕЙ (имитация), 100г;Не указан;4799.0;3499.0;Лента;Москва
868772;Форель радужная ЛЕНТА FRESH потрошеная с головой 1–2кг, Карелия, весовая;Не указан;287998.0;259998.0;Лента;Москва
646339;Икра судака СОКРОВИЩА ОКЕАНА, 120г;Не указан;11799.0;8999.0;Лента;Москва
365612;Морской микс МЕРИДИАН в рассоле, 180г;Не указан;21699.0;14999.0;Лента;Москва
163389;Дорадо ЛЕНТА FRESH 300–600г, весовая;Не указан;43500.0;39000.0;Лента;Москва
440268;Сельдь ЛЕНТА филе в масле, 250г;Не указан;23199.0;15099.0;Лента;Москва
424584;Килька пряного посола 365 ДНЕЙ, 400г;Не указан;12099.0;;Лента;Москва
722403;Сельдь Тихоокеанская слабосоленая РУССКОЕ МОРЕ Бочковая, филе, 230г;Не указан;22799.0;19299.0;Лента;Москва
722542;Горбуша ЛЕНТА в томатном соусе, 240г;Не указан;23199.0;19799.0;Лента;Москва
692158;Форель слабосоленая 365 ДНЕЙ филе-ломтики, 80г;Не указан;20299.0;;Лента;Москва
253365;Хек ЛЕНТА FRESH потрошеный без головы (из замороженного сырья), весовой;Не указан;67499.0;59999.0;Лента;Москва
719286;Паста КРЕМ-ФИШ Снежный краб, 150г;Не указан;11299.0;;Лента;Москва
625547;"Скумбрия Атлантическая пряного посола ЛЕНТА FRESH потрошеная без головы, 
фасованная, весовая";Не указан;38250.0;;Лента;Москва
704727;Горбуша замороженная ЛЕНТА стейк, 430г;Не указан;54299.0;47199.0;Лента;Москва
584348;Скумбрия замороженная ЛЕНТА неразделанная, 800г;Не указан;40999.0;33999.0;Лента;Москва
